invoice_h_id,qty,unit_price_egp,discount_abs,line_total_after_disc,ship_to_address
300064,6,417.48,207.58,2297.30,"168 Tahrir st., near metro, OCT"
300064,3,134.38,29.00,374.14,6th of Octoebr 139 Abbas
300064,3,140.32,34.39,386.57,"234 Geish st., near metro, OCT"
300064,4,190.86,120.80,642.64,"233 Nile st., near bridge, OCT"
300068,7,93.41,82.55,571.32,6th of October 225 Nlie
300068,1,11.73,1.38,10.35,"76 Tahrir st., near square, OCT"
300068,5,65.45,35.01,292.24,"126 Nasr st., near hospital, OCT"
300068,5,505.92,123.69,2405.91,
300068,4,228.24,120.30,792.66,
300068,3,157.02,63.37,407.69,blk 17 - OCT - metro
300068,2,330.12,69.52,590.72,OCT/214
300068,3,250.32,60.41,690.55,OCT/75
300068,4,178.99,68.50,647.46,"Port Said 15, OCT zone"
300068,4,311.85,159.80,1087.60,"Industrial Zone 177, OCT zone"
300068,7,12.65,13.09,75.46,"116 Horreya st., near hospital, OCT"
300077,2,192.70,99.86,285.54,"170 Mustafa Nahhas st., near mosque, BLD"
300077,5,257.76,202.14,1086.66,
300077,4,35.71,22.26,120.58,BLD/196
300077,6,46.40,48.07,230.33,"Abbas 238, BLD zone"
300077,7,81.09,108.61,459.02,"Corniche 26, BLD zone"
300077,5,55.51,48.16,229.39,BLD/150
300077,3,8.74,4.92,21.30,
300077,6,461.58,582.08,2187.40,BLD/22
300077,3,208.28,115.08,509.76,BLD/81
300077,3,100.13,59.97,240.42,blk 24 - BLD - gas station
300082,3,66.43,30.90,168.39,
300082,3,25.37,9.29,66.82,Dokk i39 Faisal
300082,7,245.76,252.53,1467.79,"91 Haram st., near school, DKK"
300082,5,83.29,52.35,364.10,DKK/80
300097,4,11.94,4.71,43.05,Hadaeyk October 231 Tahrir
300097,5,543.15,357.42,2358.33,"182 Corniche st., near gas station, HOC"
300097,3,13.24,4.31,35.41,
300097,5,214.84,120.26,953.94,"Gamet Dewal 76, HOC zone"
300119,6,262.80,403.06,1173.74,"Geish 183, SZ zone"
300119,3,216.28,183.97,464.87,"169 Faisal st., near park, SZ"
300119,6,437.64,764.61,1861.23,SZ/100
300119,5,328.86,380.70,1263.60,
300119,5,35.74,58.37,120.33,"199 Port Said st., near square, SZ"
300119,7,449.82,768.41,2380.33,"Autostrad 75, SZ zone"
300119,3,79.05,65.93,171.22,Sheikh Zayed 139 Abbbas
300119,2,89.57,54.86,124.28,Sheikh Zayed 14 Horreya
300119,3,109.98,94.86,235.08,"Corniche 18, SZ zone"
300119,4,41.90,49.43,118.17,"237 Mustafa Nahhas st., near metro, SZ"
300119,4,34.22,41.82,95.06,SZ/200
300119,4,83.92,96.53,239.15,SZ/108
300121,8,13.54,32.19,76.13,Banha 12 Nasr
300121,6,124.61,194.52,553.14,Bnaha 51 Sudan
300121,1,30.16,6.76,23.40,BNH/229
300121,7,46.58,87.49,238.57,Bnha 119 Industrial Zone
300121,8,56.85,113.55,341.25,"Gamet Dewal 204, BNH zone"
300121,7,48.42,83.31,255.63,"Port Said 127, BNH zone"
300121,4,124.02,149.39,346.69,"17 Haram st., near hospital, BNH"
300125,3,509.49,367.40,1161.07,BNH/204
300125,1,223.20,61.27,161.93,blk 19 - BNH - gas station
300125,3,334.53,197.26,806.33,
300132,3,224.27,156.51,516.30,"Zayed 181, AGM zone"
300132,6,13.18,22.65,56.43,
300132,3,134.90,115.95,288.75,Agami  164 Corniche
300132,4,198.44,187.26,606.50,AGM/176
300132,1,249.36,55.48,193.88,blk 25 - AGM - metro
300132,2,30.69,15.12,46.26,"18 Abbas st., near park, AGM"
300132,1,7.39,1.67,5.72,Agam 147 Salah Salem
300132,3,36.14,26.16,82.26,Agami 26 aHram
300132,5,12.45,18.69,43.56,"Abbas 121, AGM zone"
300132,5,181.46,228.50,678.80,blk 23 - AGM - mosque
300132,3,45.14,36.69,98.73,"183 Industrial Zone st., near metro, AGM"
300132,7,290.12,524.52,1506.32,
300134,8,89.76,100.34,617.74,AGM/95
300134,9,42.03,47.93,330.34,"110 Abbas st., near market, AGM"
300134,2,318.78,101.35,536.21,
300134,8,529.38,784.87,3450.17,blk 7 - AGM - hospital
300134,6,106.55,87.14,552.16,"Mustafa Nahhas 218, AGM zone"
300134,7,33.30,40.51,192.59,AGM/223
300150,3,34.72,10.87,93.29,"150 9th District st., near square, SMH"
300150,4,13.00,7.81,44.19,
300150,2,230.40,69.52,391.28,SMH/212
300150,5,46.40,40.55,191.45,"192 Haram st., near mosque, SMH"
300150,3,458.64,135.46,1240.46,"214 9th District st., near gas station, SMH"
300157,2,163.86,43.28,284.44,blk 7 - ASH - bridge
300157,6,462.57,503.82,2271.60,Ain Shams 125 Horreeya
300158,10,7.76,17.72,59.88,
300158,4,35.18,27.36,113.36,ASH/186
300158,6,49.46,59.75,237.01,"Salah Salem 121, ASH zone"
300158,4,95.62,76.51,305.97,
300158,3,41.94,23.59,102.23,"Faisal 129, ASH zone"
300158,3,553.86,340.36,1321.22,"75 Faisal st., near park, ASH"
300158,3,483.48,276.18,1174.26,"207 Haram st., near park, ASH"
300158,2,79.68,31.29,128.07,"94 Haram st., near market, ASH"
300158,6,8.71,12.39,39.87,"Sudan 209, ASH zone"
300158,3,7.39,4.23,17.94,
300158,6,122.13,148.65,584.13,"Corniche 63, ASH zone"
300158,6,406.98,531.65,1910.23,"208 Salah Salem st., near metro, ASH"
300158,1,317.52,51.84,265.68,blk 12 - ASH - school
300158,3,12.60,6.27,31.53,ASH/112
300158,5,542.64,631.82,2081.38,blk 6 - ASH - police st.
300159,4,450.66,374.82,1427.82,
300159,3,47.93,27.89,115.90,blk 20 - ASH - police st.
300161,4,13.39,10.86,42.70,blk 14 - ASH - school
300161,3,35.57,30.70,76.01,"157 Horreya st., near gas station, ASH"
300161,7,471.24,982.29,2316.39,blk 17 - ASH - mosque
300161,2,152.15,59.11,245.19,"42 Nile st., near gas station, ASH"
300169,5,25.90,6.33,123.17,blk 1 - MRG - mosque
300169,4,103.78,8.94,406.18,blk 5 - MRG - school
300169,1,252.96,18.85,234.11,El Marg 28 9th District
300169,3,289.17,48.31,819.20,"207 Faisal st., near bridge, MRG"
300169,4,143.88,43.50,532.02,MRG/46
300169,6,545.19,342.93,2928.21,El Marg 235 Hraam
300171,3,161.88,85.14,400.50,MRG/216
300171,4,64.54,57.42,200.74,blk 21 - MRG - bridge
300171,4,128.96,103.44,412.40,blk 18 - MRG - mosque
300171,1,173.18,34.65,138.53,"Geish 78, MRG zone"
300171,4,18.95,11.13,64.67,blk 29 - MRG - park
300171,4,137.02,73.15,474.93,El Marg 311 Horreya
300171,3,63.99,28.72,163.25,"18 Faisal st., near square, MRG"
300174,4,165.83,3.28,660.04,MRG/39
300174,7,74.65,86.90,435.65,blk 7 - MRG - gas station
300174,4,44.01,7.01,169.03,blk 5 - MRG - metro
300174,6,344.61,35.52,2032.14,blk 8 - MRG - hospital
300174,2,191.84,47.16,336.52,El Mrg 71 Sudan
300174,4,43.65,12.22,162.38,"Mustafa Nahhas 162, MRG zone"
300174,6,183.22,110.22,989.10,
300181,7,67.04,110.81,358.47,Heliopolis 822 Port Said
300181,4,191.84,186.57,580.79,
300181,1,7.31,1.29,6.02,"22 Corniche st., near hospital, HLPL"
300181,5,72.06,95.04,265.26,HLPL/195
300181,4,214.02,181.04,675.04,HLPL/209
300181,5,147.44,192.62,544.58,"163 Mustafa Nahhas st., near mosque, HLPL"
300181,2,24.65,12.13,37.17,blk 16 - HLPL - police st.
300181,6,33.03,53.88,144.30,"Faisal 13, HLPL zone"
300181,3,148.50,104.71,340.79,Heliopolis 36G eish
300182,5,148.35,219.46,522.29,HLPL/73
300182,6,17.32,21.83,82.09,
300182,2,32.41,16.91,47.91,"Corniche 184, HLPL zone"
300182,6,190.78,284.68,860.00,"Corniche 71, HLPL zone"
300182,3,112.10,85.06,251.24,
300182,3,65.27,41.69,154.12,Heliopoolis 10 Industrial Zone
300182,2,474.81,235.94,713.68,HLPL/93
300184,5,26.16,36.66,94.14,Heliopolis 195 Port  Said
300184,2,23.62,12.43,34.81,
300184,2,100.70,40.21,161.19,"13 Haram st., near school, HLPL"
300184,6,127.38,200.57,563.71,"Tahrir 19, HLPL zone"
300184,9,16.97,43.96,108.77,Heliopolis 19 Nasr
300184,5,192.37,178.90,782.95,Heilopolis 183 Geish
300184,3,12.21,12.26,24.37,blk 16 - HLPL - park
300204,2,48.11,9.25,86.97,
300204,5,22.94,17.39,97.31,
300204,4,224.64,114.90,783.66,Maadi 51  Zayed
300204,5,387.24,158.38,1777.82,Maaadi 112 Gamet Dewal
300204,4,8.21,3.90,28.94,"149 9th District st., near bridge, MAD"
300204,2,7.59,1.34,13.84,
300204,8,464.61,422.08,3294.80,
300207,-2,126.46,0.00,252.92,
300207,5,126.46,0.00,632.30,Maadi 186 Horreya
300207,5,160.69,66.35,737.10,
300207,1,100.03,7.73,92.30,"Autostrad 130, MAD zone"
300207,3,16.96,8.32,42.56,blk 20 - MAD - market
300208,4,175.65,112.35,590.25,"Tahrir 35, MAD zone"
300208,4,33.13,23.22,109.30,Maai 239 Nile
300208,4,326.66,137.74,1168.90,
300208,2,439.74,181.14,698.34,MAD/111
300211,2,58.99,18.32,99.66,blk 26 - MAD - gas station
300211,2,133.72,58.93,208.51,
300211,3,23.42,9.27,60.99,blk 3 - MAD - gas station
300211,3,113.87,63.89,277.72,Maadi212 Abbas
300211,1,206.85,49.81,157.04,Maadi 213 Mustafa Nahhhas
300211,4,314.06,293.42,962.82,
300211,6,98.02,90.46,497.66,"152 9th District st., near gas station, MAD"
300211,4,11.96,9.56,38.28,blk 19 - MAD - school
300213,4,395.22,158.65,1422.23,Maadi 210 Corniche
300213,1,432.60,54.51,378.09,MAD/134
300213,7,385.14,546.20,2149.78,MAD/63
300213,3,11.65,6.92,28.03,"Industrial Zone 76, MAD zone"
300213,5,17.42,13.59,73.51,"103 Haram st., near metro, MAD"
300216,2,7.29,1.57,13.01,"85 Autostrad st., near gas station, MAD"
300216,4,81.01,37.91,286.13,Maaadi 105 Port Said
300216,4,87.26,45.78,303.26,"62 Industrial Zone st., near bridge, MAD"
300216,3,26.33,7.03,71.96,blk 3 - MAD - police st.
300216,7,92.74,70.61,578.57,Maadi 22 Horreya
300216,4,48.29,24.13,169.03,blk 8 - MAD - bridge
300216,3,18.02,9.41,44.65,
300216,2,22.61,1.63,43.59,blk 11 - MAD - park
300216,6,149.72,102.92,795.40,"Haram 212, MAD zone"
300216,5,240.96,91.51,1113.29,Maadi 191 Pot Said
300216,5,8.79,3.15,40.80,MAD/235
300216,3,33.89,4.36,97.31,MAD/3
300216,1,92.35,8.08,84.27,"33 Zayed st., near metro, MAD"
300223,2,143.75,25.52,261.98,Mokattam237 Gamet Dewal
300223,5,324.45,247.42,1374.83,Mokattam 64 utostrad
300223,4,61.37,27.83,217.65,Mokatttam 155 Zayed
300223,2,88.13,21.08,155.18,
300223,5,56.24,29.54,251.66,blk 20 - MKT - mosque
300231,5,13.35,8.82,57.93,NSC/155
300231,3,26.18,4.58,73.96,
300231,4,21.65,13.53,73.07,NSC/223
300231,3,31.32,10.53,83.43,Nasr Citty 131 Faisal
300231,3,241.44,0.00,724.32,Nasr Ctiy 231 Nasr
300231,6,12.49,11.90,63.04,NSC/208
300231,4,166.90,83.57,584.03,NSC/177
300231,5,259.68,216.89,1081.51,Nasr Ciity 235 Nile
300235,3,401.52,179.86,1024.70,
300235,6,421.68,202.80,2327.28,Nasr City 41 9th Diistrict
300235,3,109.39,54.30,273.87,NSC/77
300235,4,319.41,95.22,1182.42,
300235,5,341.78,271.98,1436.92,NSC/77
300254,5,12.45,10.28,51.97,"44 Nasr st., near bridge, SHB"
300254,3,160.51,48.36,433.17,"Nasr 210, SHB zone"
300254,4,192.37,87.64,681.84,blk 1 - SHB - market
300254,3,23.21,10.33,59.30,blk 29 - SHB - market
300254,4,23.14,12.24,80.32,SHB/197
300255,3,190.43,67.77,503.52,blk 26 - SHB - square
300255,3,150.48,75.87,375.57,blk 28 - SHB - square
300255,2,25.42,5.43,45.41,"44 Industrial Zone st., near hospital, SHB"
300255,7,171.07,136.65,1060.84,Shubra 85H aram
300255,2,382.20,126.54,637.86,
300255,3,22.39,9.27,57.90,"217 Faisal st., near police st., SHB"
300255,2,81.25,22.01,140.49,"79 Industrial Zone st., near hospital, SHB"
300255,3,71.91,29.28,186.45,Shubra 10Nasr
300255,3,76.85,23.66,206.89,
300255,8,66.86,53.99,480.89,blk 15 - SHB - metro
300255,6,117.53,30.07,675.11,"Faisal 135, SHB zone"
300255,4,100.42,52.59,349.09,SHB/44
300255,3,132.92,53.29,345.47,SHB/62
300255,5,13.10,7.13,58.37,
300255,4,422.94,134.17,1557.59,"Geish 89, SHB zone"
300265,3,430.08,238.87,1051.37,
300265,2,212.38,61.12,363.64,blk 8 - OCT - school
300265,6,239.28,301.79,1133.89,6th of October 1224 Horreya
300265,6,124.08,156.69,587.79,"Mustafa Nahhas 13, OCT zone"
300265,3,309.02,138.27,788.79,6h of October 155 Zayed
300273,6,137.02,167.03,655.09,OCT/217
300273,1,295.47,80.20,215.27,
300273,5,116.94,166.20,418.50,OCT/83
300273,3,334.85,262.80,741.75,"106 Industrial Zone st., near hospital, OCT"
300273,4,58.87,48.91,186.57,
300281,4,7.75,5.32,25.68,AGZ/143
300281,3,8.32,2.73,22.23,
300281,7,466.65,375.28,2891.27,blk 27 - AGZ - school
300281,8,147.90,200.26,982.94,AGZ/191
300285,2,147.74,70.13,225.35,"Nasr 175, AEL zone"
300285,2,168.26,96.87,239.65,blk 26 - AEL - market
300285,2,530.91,257.47,804.35,"Industrial Zone 171, AEL zone"
300287,2,47.34,9.93,84.75,
300287,6,17.14,13.33,89.51,
300287,4,116.47,52.40,413.48,"92 Mustafa Nahhas st., near park, BLD"
300287,4,75.05,19.84,280.36,Boulakk Dakrour 215 Geish
300287,5,12.91,6.73,57.82,BLD/2
300290,2,288.86,112.55,465.17,Boulak Dakrour 107 Hoorreya
300290,3,66.92,35.86,164.90,"133 Gamet Dewal st., near square, BLD"
300290,4,145.46,146.98,434.86,Boulak Daakrour 58 Zayed
300290,4,8.16,7.29,25.35,
300290,6,66.25,58.81,338.69,"Autostrad 237, BLD zone"
300290,2,87.94,37.89,137.99,blk 24 - BLD - hospital
300290,6,71.51,91.18,337.88,"Haram 190, BLD zone"
300290,2,319.10,178.12,460.08,BLD/10
300290,7,40.86,55.89,230.13,blk 24 - BLD - market
300290,6,151.24,175.87,731.57,"69 Autostrad st., near square, BLD"
300293,5,16.60,20.31,62.69,"Gamet Dewal 19, DKK zone"
300293,3,383.46,155.39,994.99,
300293,5,58.99,56.47,238.48,"Horreya 62, DKK zone"
300293,3,520.20,273.47,1287.13,blk 19 - DKK - police st.
300293,4,7.68,6.83,23.89,DKK/166
300293,6,309.65,340.93,1516.97,"220 Corniche st., near gas station, DKK"
300293,3,214.43,149.79,493.50,DKK/87
300293,4,139.92,47.79,511.89,DKK/202
300295,4,187.58,130.40,619.92,blk 5 - DKK - school
300295,4,21.79,19.62,67.54,"Faisal 150, DKK zone"
300295,2,122.23,38.13,206.33,
300302,5,256.32,265.94,1015.66,blk 28 - DKK - bridge
300302,7,30.95,57.71,158.94,Dkoki 185 Nile
300302,5,123.82,159.89,459.21,Dokki 31Geish
300302,6,220.38,259.39,1062.89,"Geish 236, DKK zone"
300302,2,23.14,10.18,36.10,
300302,5,11.74,17.45,41.25,blk 15 - DKK - gas station
300302,5,11.58,15.70,42.20,
300302,3,26.06,23.01,55.17,"173 Horreya st., near market, DKK"
300302,2,31.94,12.92,50.96,"9th District 60, DKK zone"
300302,4,314.37,242.44,1015.04,"Tahrir 191, DKK zone"
300302,2,105.12,39.56,170.68,"Zayed 28, DKK zone"
300302,2,60.70,29.50,91.90,
300306,3,138.34,83.92,331.10,Dokki 23 Salah Salem
300306,4,98.50,64.93,329.07,DKK/47
300306,2,120.78,55.73,185.83,"Faisal 148, DKK zone"
300306,4,159.45,105.76,532.04,"Abbas 154, DKK zone"
300306,5,88.90,79.95,364.55,
300306,7,130.15,167.98,743.07,"102 Nasr st., near metro, DKK"
300306,5,87.74,74.57,364.13,
300306,3,34.58,20.43,83.31,
300306,3,24.53,13.55,60.04,Dookki 160 Salah Salem
300306,2,104.16,27.38,180.94,blk 25 - DKK - police st.
300306,4,236.16,186.38,758.26,"118 9th District st., near metro, DKK"
300306,7,8.76,13.87,47.45,Dokki 179Abbas
300306,5,22.99,23.23,91.72,"Industrial Zone 130, DKK zone"
300308,6,16.25,19.80,77.70,FSL/76
300308,3,90.53,58.95,212.64,FSL/69
300314,5,75.99,44.98,334.97,
300314,3,205.21,72.46,543.17,blk 10 - FSL - mosque
300314,6,197.42,80.09,1104.43,blk 24 - FSL - school
300314,3,141.66,54.39,370.59,blk 12 - FSL - square
300314,3,84.07,28.76,223.45,"191 Faisal st., near park, FSL"
300314,1,132.66,8.09,124.57,
300315,4,81.17,95.99,228.69,"114 Sudan st., near metro, FSL"
300315,7,129.68,196.63,711.13,"Tahrir 79, FSL zone"
300333,1,168.61,16.27,152.34,"31 Sudan st., near park, HRM"
300333,2,126.97,37.62,216.32,"Sudan 53, HRM zone"
300333,3,205.62,104.11,512.75,blk 9 - HRM - park
300333,3,64.05,25.61,166.54,HRM/166
300333,1,60.57,11.83,48.74,HRM/79
300333,3,87.36,25.30,236.78,blk 6 - HRM - metro
300339,2,406.98,95.77,718.19,IMB/126
300339,6,326.03,226.84,1729.34,"56 Port Said st., near police st., IMB"
300339,4,22.39,6.66,82.90,IMB/103
300339,5,83.68,53.33,365.07,
300339,3,89.86,30.89,238.69,blk 9 - IMB - metro
300339,8,82.43,39.80,619.64,Imbaba  117 Faisal
300341,3,101.95,42.77,263.08,Imbaba 2 7Port Said
300341,5,191.66,89.54,868.76,"Corniche 148, IMB zone"
300341,9,13.50,20.55,100.95,blk 1 - IMB - park
300341,3,7.62,4.93,17.93,IMB/223
300341,5,120.60,130.62,472.38,"Gamet Dewal 36, IMB zone"
300341,2,23.21,8.48,37.94,Imbaba 11 Abbas
300341,2,64.66,27.40,101.92,
300341,4,7.97,6.63,25.25,IMB/207
300341,3,96.00,48.96,239.04,"Port Said 78, IMB zone"
300341,4,122.84,85.08,406.28,"168 Industrial Zone st., near square, IMB"
300347,6,61.24,96.50,270.94,
300347,6,42.98,76.98,180.90,Mohandesssin 55 Port Said
300347,7,17.08,25.92,93.64,Mohandessin 71 Fisal
300347,5,12.76,17.26,46.54,"131 Nile st., near mosque, MHS"
300347,1,66.86,17.31,49.55,
300347,2,11.64,5.65,17.63,blk 21 - MHS - park
300347,4,255.84,266.56,756.80,MHS/185
300347,2,239.52,108.81,370.23,
300357,3,31.42,10.43,83.83,"Zayed 41, MHS zone"
300357,5,128.38,96.05,545.85,MHS/127
300357,2,332.64,87.27,578.01,"Mustafa Nahhas 219, MHS zone"
300357,6,106.20,74.76,562.44,blk 26 - MHS - bridge
300357,5,21.94,13.30,96.40,MHS/200
300357,3,330.12,181.50,808.86,"27 Gamet Dewal st., near bridge, MHS"
300357,7,462.00,301.39,2932.61,Mohanddessin 163 Nasr
300363,3,90.34,20.05,250.97,"Geish 194, SZ zone"
300363,7,143.49,114.17,890.26,blk 4 - SZ - park
300371,3,134.51,60.50,343.03,"194 Gamet Dewal st., near square, BNH"
300371,3,78.42,33.49,201.77,"Geish 66, BNH zone"
300371,5,317.84,271.53,1317.67,blk 4 - BNH - park
300371,2,91.68,36.43,146.93,Banha 15  Nile
300371,3,47.48,32.14,110.30,Banha 161 Idnustrial Zone
300371,3,19.46,11.95,46.43,"Faisal 90, BNH zone"
300371,3,119.42,68.44,289.82,"Gamet Dewal 82, BNH zone"
300371,5,219.15,277.87,817.88,blk 21 - BNH - market
300371,4,12.88,9.03,42.49,
300371,7,132.13,184.36,740.55,Banha 194 Indstrial Zone
300371,3,346.50,174.83,864.67,Bannha 2 Autostrad
300371,6,11.86,12.07,59.09,"85 9th District st., near bridge, BNH"
300383,1,25.73,7.54,18.19,
300383,7,24.60,41.50,130.70,"Mustafa Nahhas 178, SHK zone"
300383,4,30.00,25.61,94.39,blk 13 - SHK - gas station
300383,8,30.79,66.20,180.12,
300383,6,260.64,375.54,1188.30,
300383,3,224.27,159.53,513.28,Shubra El Kheima 222 Pot Said
300383,8,128.86,229.49,801.39,Shubra El Kheia 104 Abbas
300387,4,231.36,137.49,787.95,
300387,3,74.10,31.16,191.14,AGM/138
300387,3,65.82,13.10,184.36,
300387,5,46.26,21.69,209.61,"Salah Salem 124, AGM zone"
300387,2,91.39,22.08,160.70,AGM/93
300387,3,89.86,35.45,234.13,Agami 75 Corniche
300387,4,21.91,13.26,74.38,Agami 224 Salah Slem
300389,4,104.26,97.05,319.99,blk 23 - AGM - gas station
300389,2,552.84,284.45,821.23,blk 5 - AGM - square
300389,1,8.74,1.45,7.29,
300389,1,107.50,29.89,77.61,"78 Nasr st., near police st., AGM"
300389,4,12.05,11.44,36.76,AGM/236
300389,7,143.79,225.15,781.38,"Salah Salem 196, AGM zone"
300389,5,8.26,12.92,28.38,
300393,2,223.45,75.52,371.38,"Abbas 77, AGM zone"
300393,7,33.50,20.11,214.39,"Salah Salem 164, AGM zone"
300393,4,8.20,3.37,29.43,
300393,6,65.94,42.09,353.55,"89 9th District st., near bridge, AGM"
300393,6,30.10,27.98,152.62,"Horreya 112, AGM zone"
300393,5,528.36,440.82,2200.98,"99 Faisal st., near school, AGM"
300393,2,141.50,32.17,250.83,"176 Zayed st., near market, AGM"
300396,3,25.90,9.67,68.03,AGM/228
300396,5,23.26,10.25,106.05,"212 Nile st., near police st., AGM"
300396,3,13.68,4.51,36.53,Agami 234 9th  District
300396,8,220.56,214.95,1549.53,blk 18 - AGM - police st.
300396,3,116.11,33.44,314.89,Agami213 Zayed
300396,3,8.63,0.07,25.82,AGM/171
300396,8,122.63,73.47,907.57,
300396,4,79.83,28.10,291.22,"180 Abbas st., near park, AGM"
300396,2,339.57,73.75,605.39,Agmai 224 Autostrad
300403,1,292.01,42.69,249.32,blk 19 - ASF - gas station
300403,2,94.94,13.34,176.54,Asafra 108 aGmet Dewal
300403,5,92.93,39.44,425.21,"32 Sudan st., near hospital, ASF"
300403,5,126.97,43.21,591.64,blk 2 - ASF - market
300403,3,24.41,6.15,67.08,Asafra 54 orniche
300403,3,87.46,13.28,249.10,
300403,6,19.22,7.79,107.53,blk 9 - ASF - park
300403,5,73.32,21.20,345.40,"52 Port Said st., near mosque, ASF"
300403,3,62.71,22.63,165.50,"Industrial Zone 112, ASF zone"
300403,4,149.11,91.16,505.28,ASF/141
300410,2,19.10,2.06,36.14,"Industrial Zone 110, MDR zone"
300410,4,344.30,124.17,1253.03,"Port Said 111, MDR zone"
300410,4,48.11,22.40,170.04,
300410,7,71.12,42.99,454.85,"Tahrir 3, MDR zone"
300410,2,236.40,53.03,419.77,
300410,9,72.85,44.85,610.80,blk 15 - MDR - mosque
300418,3,130.94,18.36,374.46,"Abbas 110, SDG zone"
300418,4,235.68,49.33,893.39,"3 9th District st., near market, SDG"
300418,5,156.56,49.66,733.14,"Zayed 15, SDG zone"
300418,4,19.33,5.83,71.49,blk 28 - SDG - gas station
300418,5,97.15,32.55,453.20,"Gamet Dewal 41, SDG zone"
300418,4,225.09,55.62,844.74,"Nile 126, SDG zone"
